Type,Local Number,Message,Field 1,Value 1,Units 1,Field 2,Value 2,Units 2,Field 3,Value 3,Units 3,Field 4,Value 4,Units 4,Field 5,Value 5,Units 5,Field 6,Value 6,Units 6,Field 7,Value 7,Units 7,Field 8,Value 8,Units 8,
Data,6,respiration_rate,timestamp,"1131317820",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,timestamp_16,"35388",s,heart_rate,"166",bpm,,,,,,,,,,,,,,,,,,,
Data,3,unknown,unknown,"36|48|79|8",,,,,,,,,,,,,,,,,,,,,,,
Data,0,event,timestamp,"1131317880",s,auto_activity_detect_start_timestamp,"1131316920",s,data16,"1",,event,"54",,event_type,"3",,activity_type,"6",,auto_activity_detect_duration,"1",,,,,
Data,5,stress_level,stress_level_time,"1131317880",s,stress_level_value,"-2",,unknown,"102",,unknown,"19",,unknown,"1",,,,,,,,,,,
Data,6,respiration_rate,timestamp,"1131317880",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,4,monitoring,timestamp_16,"35448",s,heart_rate,"167",bpm,,,,,,,,,,,,,,,,,,,
Definition,3,monitoring,distance,1,,cycles,1,,active_time,1,,active_calories,1,,timestamp_16,1,,current_activity_type_intensity,1,,,,,,,,
Data,3,monitoring,distance,"2407.35",m,steps,"2275",cycles,active_time,"909.0",s,active_calories,"137",kcal,timestamp_16,"35448",s,current_activity_type_intensity,"129",,activity_type,"1",,intensity,"4.0",,
Definition,4,unknown,unknown,4,,,,,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"44|36|0|16",,,,,,,,,,,,,,,,,,,,,,,
Data,5,stress_level,stress_level_time,"1131317940",s,stress_level_value,"-2",,unknown,"102",,unknown,"18",,unknown,"1",,,,,,,,,,,
Data,6,respiration_rate,timestamp,"1131317940",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Definition,5,monitoring,timestamp_16,1,,heart_rate,1,,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"35508",s,heart_rate,"168",bpm,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"10|0|0|24",,,,,,,,,,,,,,,,,,,,,,,
Definition,6,stress_level,stress_level_time,1,,stress_level_value,1,,unknown,1,,unknown,1,,unknown,1,,,,,,,,,,,
Data,6,stress_level,stress_level_time,"1131318000",s,stress_level_value,"-2",,unknown,"102",,unknown,"18",,unknown,"1",,,,,,,,,,,
Definition,7,respiration_rate,timestamp,1,,respiration_rate,1,,,,,,,,,,,,,,,,,,,,
Data,7,respiration_rate,timestamp,"1131318000",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"35568",s,heart_rate,"165",bpm,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,distance,"2715.61",m,steps,"2599",cycles,active_time,"1029.0",s,active_calories,"159",kcal,timestamp_16,"35568",s,current_activity_type_intensity,"129",,activity_type,"1",,intensity,"4.0",,
Data,4,unknown,unknown,"10|64|1|32",,,,,,,,,,,,,,,,,,,,,,,
Data,6,stress_level,stress_level_time,"1131318060",s,stress_level_value,"-2",,unknown,"102",,unknown,"18",,unknown,"1",,,,,,,,,,,
Data,7,respiration_rate,timestamp,"1131318060",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"35628",s,heart_rate,"170",bpm,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"2|184|2|40",,,,,,,,,,,,,,,,,,,,,,,
Data,6,stress_level,stress_level_time,"1131318120",s,stress_level_value,"-2",,unknown,"102",,unknown,"18",,unknown,"1",,,,,,,,,,,
Data,7,respiration_rate,timestamp,"1131318120",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"35688",s,heart_rate,"172",bpm,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"142|245|10|48",,,,,,,,,,,,,,,,,,,,,,,
Data,6,stress_level,stress_level_time,"1131318180",s,stress_level_value,"-2",,unknown,"102",,unknown,"17",,unknown,"1",,,,,,,,,,,
Data,7,respiration_rate,timestamp,"1131318180",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"35748",s,heart_rate,"173",bpm,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"0|184|2|176",,,,,,,,,,,,,,,,,,,,,,,
Data,6,stress_level,stress_level_time,"1131318240",s,stress_level_value,"-2",,unknown,"102",,unknown,"16",,unknown,"1",,,,,,,,,,,
Data,7,respiration_rate,timestamp,"1131318240",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"92|201|42|56",,,,,,,,,,,,,,,,,,,,,,,
Data,6,stress_level,stress_level_time,"1131318300",s,stress_level_value,"-2",,unknown,"102",,unknown,"16",,unknown,"1",,,,,,,,,,,
Data,7,respiration_rate,timestamp,"1131318300",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"35868",s,heart_rate,"174",bpm,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"24|0|4|240",,,,,,,,,,,,,,,,,,,,,,,
Data,6,stress_level,stress_level_time,"1131318360",s,stress_level_value,"-2",,unknown,"102",,unknown,"16",,unknown,"1",,,,,,,,,,,
Data,7,respiration_rate,timestamp,"1131318360",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"40|100|0|64",,,,,,,,,,,,,,,,,,,,,,,
Data,6,stress_level,stress_level_time,"1131318420",s,stress_level_value,"-2",,unknown,"102",,unknown,"16",,unknown,"1",,,,,,,,,,,
Data,7,respiration_rate,timestamp,"1131318420",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"35988",s,heart_rate,"173",bpm,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"242|3|250|73",,,,,,,,,,,,,,,,,,,,,,,
Data,6,stress_level,stress_level_time,"1131318480",s,stress_level_value,"-2",,unknown,"102",,unknown,"16",,unknown,"1",,,,,,,,,,,
Data,7,respiration_rate,timestamp,"1131318480",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"36048",s,heart_rate,"172",bpm,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"0|0|0|80",,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,distance,"3988.86",m,steps,"3882",cycles,active_time,"1509.0",s,active_calories,"248",kcal,timestamp_16,"36048",s,current_activity_type_intensity,"129",,activity_type,"1",,intensity,"4.0",,
Data,6,stress_level,stress_level_time,"1131318540",s,stress_level_value,"-2",,unknown,"102",,unknown,"15",,unknown,"1",,,,,,,,,,,
Data,7,respiration_rate,timestamp,"1131318540",,respiration_rate,"-1.0",breaths/min,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"36108",s,heart_rate,"161",bpm,,,,,,,,,,,,,,,,,,,
Data,4,unknown,unknown,"27|1|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,5,monitoring,timestamp_16,"36168",s,heart_rate,"150",bpm,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"72|141|110|67|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,2,unknown,unknown,"72|141|110|67|0|3|0|255|255|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,3,monitoring,distance,"2621.11",m,steps,"3200",cycles,active_time,"4836.0",s,active_calories,"224",kcal,timestamp_16,"36168",s,current_activity_type_intensity,"70",,activity_type,"6",,intensity,"2.0",,
Definition,0,ohr_settings,timestamp,1,,enabled,1,,,,,,,,,,,,,,,,,,,,
Data,0,ohr_settings,timestamp,"1131318600",s,enabled,"1",,,,,,,,,,,,,,,,,,,,
Definition,1,monitoring,timestamp,1,,distance,1,,cycles,1,,active_time,1,,active_calories,1,,duration_min,1,,activity_type,1,,,,,
Data,1,monitoring,timestamp,"1131318600",s,distance,"0.0",m,cycles,"0.0",cycles,active_time,"1485.0",s,active_calories,"66",kcal,duration_min,"1090",min,activity_type,"0",,,,,
Data,1,monitoring,timestamp,"1131318600",s,distance,"2621.11",m,steps,"3200",cycles,active_time,"4836.0",s,active_calories,"224",kcal,duration_min,"1090",min,activity_type,"6",,,,,
Data,1,monitoring,timestamp,"1131318600",s,distance,"3988.86",m,steps,"3882",cycles,active_time,"1509.0",s,active_calories,"248",kcal,duration_min,"1090",min,activity_type,"1",,,,,
Definition,2,monitoring,timestamp_16,1,,vigorous_activity_minutes,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,2,monitoring,timestamp_16,"36168",s,vigorous_activity_minutes,"23",minutes,unknown,"24",,,,,,,,,,,,,,,,,
Definition,3,monitoring,timestamp,1,,unknown,1,,unknown,1,,,,,,,,,,,,,,,,,
Data,3,monitoring,timestamp,"1131318600",s,unknown,"3",,unknown,"24",,,,,,,,,,,,,,,,,
Definition,4,monitoring_hr_data,timestamp,1,,resting_heart_rate,1,,current_day_resting_heart_rate,1,,,,,,,,,,,,,,,,,
Data,4,monitoring_hr_data,timestamp,"1131318600",s,resting_heart_rate,"67",bpm,current_day_resting_heart_rate,"63",bpm,,,,,,,,,,,,,,,,
Definition,5,unknown,unknown,27,,,,,,,,,,,,,,,,,,,,,,,
Data,5,unknown,unknown,"72|141|110|67|8|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
Data,5,unknown,unknown,"72|141|110|67|7|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0",,,,,,,,,,,,,,,,,,,,,,,
